message,signature,duration
6220,1447,73124000
5837,2052,90236000
6873,5296,81818000
9008,3549,65871000
9216,8052,75130000
3848,4451,72121000
7437,4160,79662000
2704,4664,70120000
4666,2499,108131000
481,1949,95296000
7534,2608,85172000
3532,7385,62262000
6177,8150,81740000
3770,9563,79015000
6642,8070,85567000
5901,2441,82529000
3569,257,82663000
3871,6309,81254000
8107,134,69877000
9495,162,80692000
1122,709,79950000
309,5459,83648000
6445,5796,64795000
5729,3001,80839000
472,8884,71415000
5120,4048,52863000
6324,531,76516000
7456,4228,94508000
2705,6661,98507000
9541,714,66136000
7861,7363,76234000
443,5074,87257000
467,5793,92688000
909,2946,69704000
4705,6233,67234000
2859,6421,60428000
2534,6782,54152000
2200,3009,71868000
1619,9936,91919000
1079,2902,66843000
13,8867,67952000
6719,1864,63083000
9201,7527,73147000
8605,8193,77536000
5349,3822,87444000
5462,7815,58028000
9098,9278,67870000
4712,1104,75152000
2302,464,85696000
7235,3673,75191000
987,8163,77849000
8699,4270,85890000
7435,368,74038000
8459,8764,71360000
130,1408,71623000
3046,3118,63981000
9474,7264,61345000
4902,8855,83100000
5663,6749,79784000
6754,5590,84092000
8385,4535,67701000
13,8867,67622000
361,5026,75648000
595,8382,73905000
4425,9547,79880000
785,9696,65111000
1773,794,89270000
8428,5109,85895000
6747,5747,70131000
8820,6688,100079000
2776,8092,64575000
1168,7848,86058000
5024,451,82299000
2152,5653,85552000
4225,1285,66826000
7033,9531,78823000
4494,302,70819000
1712,6091,75267000
1189,1601,100332000
6995,8277,85981000
9601,9343,56534000
2395,8578,74016000
3122,221,71233000
5166,9264,54943000
338,5205,67927000
4577,7399,96653000
2244,3532,100083000
8996,3831,63757000
4602,7057,73771000
5164,6877,77558000
730,272,74648000
3703,985,82907000
6841,8420,75604000
9854,8232,81625000
1245,2538,93940000
2343,4091,78166000
3691,5730,78802000
8474,1296,83222000
8883,1201,68001000
5948,5430,79040000
3308,1335,64576000
7069,5246,61417000
845,1791,75055000
8550,7314,88227000
287,4665,71894000
7167,5691,85702000
920,2586,80556000
6873,5296,81152000
1744,7015,90634000
2060,6489,86947000
82,2020,64371000
1462,8444,83103000
9229,9254,80356000
1877,2639,62790000
5637,8180,85136000
4711,6626,72570000
8491,5751,68336000
9681,4222,93938000
6460,2314,77317000
8036,8907,73053000
7574,1055,84922000
6695,1133,80553000
9026,6894,84931000
8082,2035,90654000
9323,7792,68591000
928,2164,77014000
849,1304,57210000
274,1731,73388000
8123,436,99731000
7255,8017,72253000
9234,8291,80740000
5192,6286,51926000
6238,7330,65770000
379,877,73794000
7458,7728,71857000
6743,4301,80417000
2840,6517,81649000
7124,2304,58984000
6558,4627,72267000
8797,5668,87203000
9012,8055,75068000
1232,9856,80156000
2043,7172,69910000
7821,7530,68039000
3907,8457,98766000
6527,5775,68957000
7733,7645,109853000
1768,8999,62404000
7959,7476,65704000
2838,3250,85517000
9657,8172,67907000
9700,7663,79361000
7435,368,72850000
9257,4626,75749000
9232,3701,64480000
3830,1810,75923000
7152,6575,67481000
5518,8989,90364000
9656,7078,75630000
3435,4378,85491000
4081,4855,73864000
7825,9592,62893000
9261,9719,93589000
8467,246,84258000
2734,7884,68143000
6225,7193,60905000
5979,2002,73963000
2960,1682,55619000
1040,9003,78797000
4846,9418,91421000
2904,6796,56025000
6150,8065,69481000
6718,4802,78263000
4134,2757,70561000
9444,7504,79608000
8804,3211,74759000
1106,3021,82218000
1762,6192,69722000
5362,8942,69508000
716,3354,59182000
1296,5176,62440000
2813,4753,78046000
4984,5876,74060000
1781,1102,86077000
7068,9078,79641000
5870,3913,59176000
1182,5168,67212000
3627,2648,83405000
6867,2876,69359000
6186,2350,63840000
8352,6864,86860000
5491,2590,76474000
8459,8764,66643000
1799,3683,70009000
1298,1220,68395000
4,7654,73180000
8009,8275,71442000
9059,7886,70665000
699,3429,70132000
7050,2621,62579000
2477,8079,95792000
7281,5135,79948000
3667,9460,95022000
489,6975,84969000
4471,1548,85464000
3928,1624,76264000
9180,2584,71106000
3790,5728,65671000
9663,4988,69344000
4187,566,65663000
2804,9025,75181000
1446,6212,62324000
9582,1429,66099000
7045,5784,79347000
6615,9746,90439000
5466,8847,71606000
4082,8233,84328000
6530,9698,68410000
6864,7188,73528000
5125,1374,82015000
8713,9782,78021000
4078,9885,56196000
6159,5213,67742000
4146,8681,78064000
3543,7741,67769000
4400,1490,65878000
5800,839,70036000
7480,323,54606000
3886,867,68313000
8910,9661,87415000
1966,4289,83528000
9201,7527,79684000
4267,5431,77086000
5545,3670,56874000
7434,5397,62727000
2619,3783,74989000
4630,367,62868000
9564,8619,95317000
7081,2134,84035000
1207,8803,79846000
3667,9460,93412000
7958,8721,57067000
7293,8757,74057000
5850,3256,86132000
1748,2588,91866000
2990,3283,64393000
794,6623,67279000
7365,3584,70390000
8233,4955,63298000
842,4367,68453000
1579,3510,86365000
2525,7998,90737000
1014,4950,84423000
5792,2276,63834000
7472,9841,85895000
839,7449,97729000
6543,5338,83957000
570,8059,76656000
5960,9191,74429000
1583,4848,79461000
7059,4969,96233000
617,617,87322000
1145,9266,89908000
8042,1362,84746000
4372,7668,68249000
3645,7215,69183000
811,7407,90557000
4446,6321,76789000
8845,609,70787000
338,5205,80188000
1818,4995,68391000
7981,9718,90641000
4050,1595,62686000
2224,3293,62432000
3712,8169,63936000
